"Designation","Discovery Date (YYYY-MM-DD)","H (mag)","MOID (au)","q (au)","Q (au)","period (yr)","i (deg)","PHA","Orbit Class"
"(2018 PF22)","2018-08-11","20.7","0.359","0.45","4.28","3.64","22.75","N","Apollo"
"(2018 NT1)","2018-07-07","21.9","0.121","1.11","3.23","3.19","9.74","N","Amor"
"(2018 ML8)","2018-06-18","21.9","0.107","1.12","3.14","3.12","8.59","N","Amor"
"(2018 LK2)","2018-06-02","19.7","0.068","0.96","2.52","2.29","19.5","N","Apollo"
"(2018 KK2)","2018-05-17","18.4","0.284","1.28","4.46","4.86","14.11","N","Amor"
"(2018 JW1)","2018-05-07","22.4","0.06","0.91","3.13","2.87","10.55","N","Apollo"
"(2018 HT3)","2018-04-22","18.3","0.335","0.53","5.44","5.15","29.57","N","Apollo"
"(2018 GA)","2018-04-01","20.4","0.108","0.99","2.63","2.44","23.97","N","Apollo"
"(2018 EC9)","2018-03-14","24.1","0.021","1.01","2.83","2.66","2.42","N","Apollo"
"(2018 EQ4)","2018-03-13","19.6","0.101","0.87","3.15","2.85","11.27","N","Apollo"
"(2018 EB)","2018-03-01","21.8","0.009","1","1.03","1.03","29.44","Y","Apollo"
"(2018 CQ1)","2018-02-03","21","0.221","0.61","2.28","1.73","19.02","N","Apollo"
"(2018 AE3)","2018-01-10","21.4","0.075","1.05","4.08","4.11","12.62","N","Amor"
"(2017 YA7)","2017-12-17","21.2","0.199","0.78","4.67","4.5","19.05","N","Apollo"
"(2017 YN3)","2017-12-16","19.2","0.104","1.08","4.06","4.13","60.32","N","Amor"
"(2017 VT14)","2017-11-13","23.1","0.005","0.98","6.05","6.58","7.4","N","Apollo"
"(2017 VH2)","2017-11-09","18.7","0.437","1.3","4.83","5.36","16.12","N","Amor"
"(2017 VT)","2017-11-03","21","0.053","0.98","5.08","5.27","16.08","N","Apollo"
"(2017 UQ4)","2017-10-22","24","0.064","1.02","4.37","4.42","11.69","N","Amor"
"(2017 TQ3)","2017-10-06","20.6","0.187","0.77","4.89","4.77","16.63","N","Apollo"
"(2017 SY32)","2017-09-29","20.7","0.041","0.65","1.64","1.22","25.95","Y","Apollo"
"(2017 SH33)","2017-09-25","18.4","0.28","1.27","3.39","3.56","65.94","N","Amor"
"(2017 RN17)","2017-09-10","21.7","0.127","0.79","4.46","4.26","19.83","N","Apollo"
"(2017 QP17)","2017-08-20","19.5","0.359","0.62","1.67","1.23","24.22","N","Apollo"
"(2017 QC36)","2017-08-18","20.6","0.041","0.5","1.06","0.69","30.43","Y","Aten"
"(2017 OP68)","2017-07-25","21.1","0.051","1.03","3.96","3.94","14.75","N","Amor"
"(2017 MD9)","2017-06-27","20.2","0.169","0.81","4.66","4.53","24.05","N","Apollo"
"(2017 LU)","2017-06-08","18.6","0.036","1.05","4.22","4.27","9.93","Y","Amor"
"(2017 KO34)","2017-05-28","21.2","0.104","0.5","2.17","1.54","32.13","N","Apollo"
"(2017 KO31)","2017-05-17","23.3","0.165","1.07","4.85","5.09","10.3","N","Amor"
"(2017 HW1)","2017-04-18","17.4","0.155","1.16","3.12","3.12","33.95","N","Amor"
"(2017 FU158)","2017-03-26","18.8","0.296","1.2","6.25","7.19","23.87","N","Amor"
"(2017 FL127)","2017-03-24","22.9","0.039","0.99","4.03","3.98","22.44","N","Apollo"
"(2017 FP64)","2017-03-20","18.5","0.289","1.29","5.11","5.72","15.96","N","Amor"
"(2017 CM32)","2017-02-07","19.8","0.013","0.75","5.26","5.22","15.35","Y","Apollo"
"C/2017 C1 (NEOWISE)","2017-02-06","n/a","0.914","1.5","40.06","94.75","65.75","n/a","Halley-type Comet*"
"(2017 BA30)","2017-01-25","21.2","0.145","1.1","2.8","2.73","30.11","N","Amor"
"(2017 AP20)","2017-01-14","17.8","0.227","0.69","5.01","4.81","14.15","N","Apollo"
"(2017 AQ20)","2017-01-10","17.7","0.39","0.61","7.36","7.96","50.56","N","Apollo"
"(2017 AG21)","2017-01-05","21.1","0.029","0.96","1.18","1.11","12.06","Y","Apollo"
"(2016 YN13)","2016-12-28","20.9","0.255","1.23","4","4.23","11.39","N","Amor"
"(2016 YF8)","2016-12-22","22.6","0.069","0.92","1.41","1.26","7.78","N","Apollo"
"(2016 XK24)","2016-12-11","20.4","0.134","0.15","1.01","0.44","8.42","N","Aten"
"(2016 XY23)","2016-12-06","20.6","0.23","1.21","4.39","4.68","28.08","N","Amor"
"(2016 WF9)","2016-11-27","20.3","0.013","0.98","4.76","4.86","15","Y","Apollo"
"(2016 WQ55)","2016-11-19","18.8","0.178","0.67","4.09","3.67","24.14","N","Apollo"
"(2016 WN55)","2016-11-18","20.2","0.07","0.53","1.14","0.76","12.32","N","Aten"
"(2016 VM6)","2016-11-14","20.1","0.452","1.25","4","4.26","27.01","N","Amor"
"(2016 VK6)","2016-11-14","22.8","0.048","1.01","1.67","1.55","7.75","N","Apollo"
"(2016 UA107)","2016-10-22","20.8","0.328","0.61","4.83","4.49","26.97","N","Apollo"
"C/2016 U1 (NEOWISE)","2016-10-21","n/a","0.589","0.32","n/a","n/a","46.43","n/a","Hyperbolic Comet"
"(2016 TJ18)","2016-10-05","20.5","0.013","1","3.81","3.73","17.77","Y","Apollo"
"(2016 SH45)","2016-09-30","19.4","0.232","1.16","4.34","4.56","8.97","N","Amor"
"(2016 SG45)","2016-09-28","19.5","0.18","1.16","3.19","3.21","29.2","N","Amor"
"(2016 SG1)","2016-09-22","17.5","0.341","0.65","3.62","3.12","36.25","N","Apollo"
"(2016 QM11)","2016-08-25","19.2","0.142","0.78","4.79","4.64","19.14","N","Apollo"
"(2016 QU1)","2016-08-21","19.1","0.247","0.21","4.24","3.33","23.28","N","Apollo"
"(2016 PG67)","2016-08-05","22.4","0.233","1.13","4.26","4.43","13.43","N","Amor"
"(2016 OY2)","2016-07-29","19.2","0.065","0.91","2.48","2.21","22.34","N","Apollo"
